,Row Names,pclass,Name,Age,Embarked,Current Home Destination,Room,Ticket #,Boat #,Gender,Had Chronic Illness (Y/N),Birth Town,Birth Town,Survived (Y/N)
91,92,1st,"Duff Gordon, Lady (Lucille Wallace Sutherland)",48,Cherbourg,London / Paris,,17485 L56 18s 7d,1,female,Y,KUALA LUMPUR,MALAYSIA,Y
92,93,1st,"Dulles, Mr William Crothers",39,Cherbourg,"Philadelphia, PA",,,-133,male,Y,EDINBURGH,SCOTLAND,N
93,94,1st,"Earnshaw, Mrs Boulton (Olive Potter)",23,Cherbourg,"Mt Airy, Philadelphia, PA",,,7,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
94,95,1st,"Eustis, Miss Elizabeth Mussey",53,Cherbourg,"Brookline, MA",,,4,female,N,,,Y
95,96,1st,"Evans, Miss Edith Corse",36,Cherbourg,"New York, NY",,,,female,N,,,N
96,97,1st,"Flegenheim, Mrs Alfred (Antoinette)",,Cherbourg,"New York, NY",,,7,female,N,SANTA MONICA,UNITED STATES,Y
97,98,1st,"Flynn, Mr John Irving",,Southampton,"Brooklyn, NY",,,07-May,male,Y,,,Y
98,99,1st,"Foreman, Mr Benjamin Laventall",30,Cherbourg,"New York, NY",,,,male,N,EDINBURGH,SCOTLAND,N
99,100,1st,"Fortune, Miss Alice Elizabeth",24,Southampton,"Winnipeg, MB",,,10,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
100,101,1st,"Fortune, Mr Charles Alexander",19,Southampton,"Winnipeg, MB",,,,male,N,MONTREAL,CANADA,N
101,102,1st,"Fortune, Miss Ethel Flora",28,Southampton,"Winnipeg, MB",,,10,female,Y,SANTA MONICA,UNITED STATES,Y
102,103,1st,"Fortune, Miss Mabel",23,Southampton,"Winnipeg, MB",,,10,female,N,CHICAGO,UNITED STATES,Y
103,104,1st,"Fortune, Mr Mark",64,Southampton,"Winnipeg, MB",,,,male,N,KUALA LUMPUR,MALAYSIA,N
104,105,1st,"Fortune, Mrs Mark (Mary McDougald)",60,Southampton,"Winnipeg, MB",,,10,female,Y,RIO DE JANEIRO,BRAZIL,Y
105,106,1st,"Franklin, Mr Thomas Parham",,Southampton,"Westcliff-on-Sea, Essex",,,,male,N,SYDNEY,AUSTRALIA,N
106,107,1st,"Frauenthal, Dr Henry William",49,Cherbourg,"New York, NY",,,5,male,Y,ISTANBUL,TURKEY,Y
107,108,1st,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",,Cherbourg,"New York, NY",,,5,female,Y,HONG KONG,CHINA,Y
108,109,1st,"Frauenthal, Mr Isaac Gerald",44,Southampton,"New York, NY",,,5,male,N,EDINBURGH,SCOTLAND,Y
109,110,1st,"Frolicher, Miss Marguerite",22,Cherbourg,"Zurich, Switzerland",,,5,female,N,MIAMI BEACH,FLORIDA,Y
110,111,1st,"Frolicher-Stehli, Mr Maxmillian",60,Cherbourg,"Zurich, Switzerland",,,5,male,Y,RIO DE JANEIRO,BRAZIL,Y
111,112,1st,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",48,Cherbourg,"Zurich, Switzerland",,,5,female,Y,SYDNEY,AUSTRALIA,Y
112,113,1st,"Futrelle, Mr Jacques",37,Southampton,"Scituate, MA",,,,male,N,CHICAGO,UNITED STATES,N
113,114,1st,"Futrelle, Mrs Jacques (May Peel)",35,Southampton,"Scituate, MA",,,9,female,N,VANCOUVER,BRITISH COLUMBIA,Y
114,115,1st,"Gee, Mr Arthur H.",47,Southampton,"St Anne's-on-Sea, Lancashire",,,-275,male,Y,ISTANBUL,TURKEY,N
115,116,1st,"Gibson, Miss Dorothy",22,Cherbourg,"New York, NY",,,7,female,N,SANTA MONICA,UNITED STATES,Y
116,117,1st,"Gibson, Mrs Leonard (Pauline C. Boeson)",45,Cherbourg,"New York, NY",,,7,female,N,BEIJING,CHINA,Y
117,118,1st,"Goldenberg, Mr Samuel L.",49,Cherbourg,"Paris, France / New York, NY",,,5,male,N,EDINBURGH,SCOTLAND,Y
118,119,1st,"Goldenberg, Mrs Samuel L. (Edwiga Grabowsko)",,Cherbourg,"Paris, France / New York, NY",,,5,female,N,SYDNEY,AUSTRALIA,Y
119,120,1st,"Goldschmidt, Mr George B.",71,Cherbourg,"New York, NY",,,,male,N,NEW YORK,UNITED STATES,N
120,121,1st,"Gracie, Colonel Archibald IV",54,Southampton,"Washington, DC",C-51,113780 L28 10s,B,male,N,,,Y
121,122,1st,"Graham, Mr George Edward",38,Southampton,"Winnipeg, MB",,,-147,male,N,,,N
122,123,1st,"Graham, Miss Margaret Edith",19,Southampton,"Greenwich, CT",C-125,17582 L153 9s 3d,3,female,N,BEIJING,CHINA,Y
123,124,1st,"Graham, Mrs William Thompson (Edith Junkins)",58,Southampton,"Greenwich, CT",C-91,17582 L153 9s 3d,3,female,N,KUALA LUMPUR,MALAYSIA,Y
124,125,1st,"Greenfield, Mrs Leo David (Blanche Strouse)",45,Cherbourg,"New York, NY",,,7,female,Y,EDINBURGH,SCOTLAND,Y
125,126,1st,"Greenfield, Mr William Bertram",23,Cherbourg,"New York, NY",,,7,male,Y,KUALA LUMPUR,MALAYSIA,Y
126,127,1st,"Guggenheim, Mr Benjamin",46,Cherbourg,"New York, NY",B-82/4,17593 L56 18s 7d,,male,N,CAPE TOWN,SOUTH AFRICA,N
127,128,1st,"Harder, Mr George Achilles",25,Cherbourg,"Brooklyn, NY",,,5,male,Y,TEL AVIV,ISRAEL,Y
128,129,1st,"Harder, Mrs George Achilles (Dorothy Annan)",21,Cherbourg,"Brooklyn, NY",,,5,female,N,VANCOUVER,BRITISH COLUMBIA,Y
129,130,1st,"Harper, Mr Henry Sleeper",48,Cherbourg,"New York, NY",,,3,male,Y,,,Y
130,131,1st,"Harper, Mrs Henry Sleeper (Myna Haxtun)",49,Cherbourg,"New York, NY",,,3,female,N,CAPE TOWN,SOUTH AFRICA,Y
131,132,1st,"Harris, Mr Henry Birkhardt",45,Southampton,"New York, NY",C-83,36973 L83 9s 6d,,male,N,,,N
132,133,1st,"Harris, Mrs Henry Birkhardt (Irene Wallach)",36,Southampton,"New York, NY",C-83,36973 L83 9s 6d,D,female,N,NICE,FRANCE,Y
133,134,1st,"Hawksford, Mr Walter James",,Southampton,"Kingston, Surrey",,,3,male,Y,EDINBURGH,SCOTLAND,Y
134,135,1st,"Hays, Mr Charles Melville",55,Southampton,"Montreal, PQ",,,-307,male,N,,,N
135,136,1st,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",52,Southampton,"Montreal, PQ",,,3,female,Y,,,Y
136,137,1st,"Hays, Miss Margaret Bechstein",24,Southampton,"New York, NY",,,7,female,N,,,Y
137,138,1st,"Head, Mr Christopher",,Southampton,London / Middlesex,,,,male,N,NICE,FRANCE,N
138,139,1st,"Hilliard, Mr Herbert Henry",,Southampton,"Brighton, MA",,,,male,Y,LONDON,UNITED KINGDOM,N
139,140,1st,"Hipkins, Mr William Edward",,Southampton,London / Birmingham,,,,male,Y,LONDON,UNITED KINGDOM,N
140,141,1st,"Hippach, Miss Jean Gertrude",16,Cherbourg,"Chicago, IL",B-18,111361 L57 19s 7d,4,female,Y,,,Y
141,142,1st,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",44,Cherbourg,"Chicago, IL",B-18,111361 L57 19s 7d,4,female,N,HONG KONG,CHINA,Y
142,143,1st,"Hogeboom, Mrs John C. (Anna Andrews)",51,Southampton,"Hudson, NY",D-?,13502 L77,10,female,Y,TEL AVIV,ISRAEL,Y
143,144,1st,"Holverson, Mr Alexander Oskar",42,Southampton,"New York, NY",,,-38,male,N,,,N
144,145,1st,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",35,Southampton,"New York, NY",,,,female,N,BARCELONA,SPAIN,Y
145,146,1st,"Homer, Mr Harry",35,Cherbourg,"Indianapolis, IN",,,15,male,Y,VANCOUVER,BRITISH COLUMBIA,Y
146,147,1st,"Hoyt, Mr Frederick Maxfield",38,Southampton,"New York, NY /  Stamford CT",C-93,,D,male,Y,RIO DE JANEIRO,BRAZIL,Y
147,148,1st,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",35,Southampton,"New York, NY /  Stamford CT",C-93,,D,female,Y,EDINBURGH,SCOTLAND,Y
148,149,1st,"Hoyt, Mr William F.",,Cherbourg,"New York, NY",,,14,male,Y,,,N
149,150,1st,"Isham, Miss Anne Elizabeth",50,Cherbourg,"Paris, France New York, NY",C-49,,,female,Y,HONG KONG,CHINA,N
150,151,1st,"Ismay, Mr Joseph Bruce",49,Southampton,Liverpool,B-52/4/6,112058 Complimentary,C,male,N,SANTA MONICA,UNITED STATES,Y
151,152,1st,"Jones, Mr Charles Cresson",46,Southampton,"Bennington, VT",,,-80,male,N,KUALA LUMPUR,MALAYSIA,N
152,153,1st,"Julian, Mr Henry Forbes",,Southampton,London,,,,male,N,KUALA LUMPUR,MALAYSIA,N
153,154,1st,"Kent, Mr Edward Austin",58,Cherbourg,"Buffalo, NY",,,-258,male,N,CHICAGO,UNITED STATES,N
154,155,1st,"Kenyon, Mr Frederick R.",41,Southampton,"Southington / Noank, CT",,,,male,Y,BEIJING,CHINA,N
155,156,1st,"Kenyon, Mrs Frederick R. (Marion)",,Southampton,"Southington / Noank, CT",,,8,female,Y,,,Y
156,157,1st,"Kimball, Mr Edwin Nelson Jr.",42,Southampton,"Boston, MA",,,5,male,N,TEL AVIV,ISRAEL,Y
157,158,1st,"Kimball, Mrs Edwin Nelson Jr. (Gertrude Parsons)",40,Southampton,"Boston, MA",,,5,female,Y,CAPE TOWN,SOUTH AFRICA,Y
158,159,1st,"Klaber, Mr Herman",,Southampton,"Portland, OR",,,,male,N,,,N
159,160,1st,"Leader, Dr Alice Farnham",,Southampton,"New York, NY",,,8,female,N,HONOLULU,HAWAII,Y
160,161,1st,"Lewy, Mr Ervin G.",,Cherbourg,"Chicago, IL",,,,male,Y,ISTANBUL,TURKEY,N
161,162,1st,"Lindeberg-Lind, Mr Erik Gustaf",42,Southampton,"Stockholm, Sweden",,,,male,N,ISTANBUL,TURKEY,N
162,163,1st,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",55,Cherbourg,"Stockholm, Sweden",,,6,female,N,SANTA MONICA,UNITED STATES,Y
163,164,1st,"Lines, Mrs Ernest H. (Elizabeth Lindsey James)",50,Cherbourg,"Paris, France",,,9,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
164,165,1st,"Lines, Miss Mary Conover",16,Cherbourg,"Paris, France",,,9,female,N,NICE,FRANCE,Y
165,166,1st,"Lingrey, Mr Edward",,,,,,,male,N,EDINBURGH,SCOTLAND,N
166,167,1st,"Long, Mr Milton Clyde",29,Southampton,"Springfield, MA",,,-126,male,N,,,N
167,168,1st,"Longley, Miss Gretchen Fiske",21,Southampton,"Hudson, NY",D-?,13502 L77,10,female,Y,,,Y
168,169,1st,"Loring, Mr Joseph Holland",30,Southampton,"London / New York, NY",,,,male,Y,,,N
169,170,1st,"Madill, Miss Georgette Alexandra",15,Southampton,"St Louis, MO",B-5,24160 L221,2,female,N,SANTA MONICA,UNITED STATES,Y
170,171,1st,"Maguire, Mr John Edward",30,Southampton,"Brockton, MA",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
171,172,1st,"Marechal, Mr Pierre",,Cherbourg,"Paris, France",,,7,male,Y,SANTA MONICA,UNITED STATES,Y
172,173,1st,"Marvin, Mr Daniel Warner",,Southampton,"New York, NY",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
173,174,1st,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",,Southampton,"New York, NY",,,,female,Y,SANTA MONICA,UNITED STATES,Y
174,175,1st,"McCaffry, Mr Thomas Francis",46,Cherbourg,"Vancouver, BC",,,-292,male,Y,CHICAGO,UNITED STATES,N
175,176,1st,"McCarthy, Mr Timothy J.",54,Southampton,"Dorchester, MA",,,-175,male,Y,TEL AVIV,ISRAEL,N
176,177,1st,"McGough, Mr James R.",36,Southampton,"Philadelphia, PA",,,7,male,Y,SYDNEY,AUSTRALIA,Y
177,178,1st,"Meyer, Mr Edgar Joseph",28,Cherbourg,"New York, NY",,,,male,N,EDINBURGH,SCOTLAND,N
178,179,1st,"Meyer, Mrs Edgar Joseph (Leila Saks)",,Cherbourg,"New York, NY",,,6,female,N,,,Y
179,180,1st,"Millet, Mr Francis Davis",65,Southampton,"East Bridgewater, MA",,,-249,male,N,CHICAGO,UNITED STATES,N
180,181,1st,"Minahan, Miss Daisy E.",33,Queenstown,"Green Bay, WI",,,14,female,Y,HONG KONG,CHINA,Y
181,182,1st,"Minahan, Dr William Edward",44,Queenstown,"Fond du Lac, WI",,,-230,male,N,,,N
182,183,1st,"Minahan, Mrs William Edward (Lillian E. Thorpe)",37,Queenstown,"Fond du Lac, WI",,,14,female,Y,TEL AVIV,ISRAEL,Y
183,184,1st,"Mock, Mr Philip E.",,Cherbourg,"New York, NY",,,11,male,N,NEW YORK,UNITED STATES,Y
184,185,1st,"Molson, Mr Harry Markland",55,Southampton,"Montreal, PQ",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
185,186,1st,"Moore, Mr Clarence Bloomfield",47,Southampton,"Washington, DC",,,,male,N,KUALA LUMPUR,MALAYSIA,N
186,187,1st,"Natsch, Mr Charles H.",36,Cherbourg,"Brooklyn, NY",,,,male,N,ISTANBUL,TURKEY,N
187,188,1st,"Newell, Mr Arthur Webster",58,Cherbourg,"Lexington, MA",,,-122,male,N,CHICAGO,UNITED STATES,N
188,189,1st,"Newell, Miss Madeleine",31,Cherbourg,"Lexington, MA",,,6,female,N,HONOLULU,HAWAII,Y
189,190,1st,"Newell, Miss Marjorie",23,Cherbourg,"Lexington, MA",,,6,female,N,BARCELONA,SPAIN,Y
190,191,1st,"Newsom, Miss Helen Monypeny",19,Southampton,"New York, NY",,,5,female,Y,NICE,FRANCE,Y
191,192,1st,"Nicholson, Mr Arthur Ernest",64,Southampton,"Isle of Wight, England",,,-263,male,Y,RIO DE JANEIRO,BRAZIL,N
192,193,1st,"Omont, Mr A. Fernand",,Cherbourg,"Paris, France",,,7,male,Y,NEW YORK,UNITED STATES,Y
193,194,1st,"Ostby, Mr Engelhart Cornelius",64,Cherbourg,"Providence, RI",,,-234,male,Y,EDINBURGH,SCOTLAND,N
